Config,Model,Macro F1,Weighted F1,F1 Normal,F1 Offensive,F1 Hate,Train F1,Gap,Balanced Score
Original,Naive Bayes,0.5523,0.8145,0.7454,0.8972,0.0143,0.5844,0.0321,0.26725
Original,Logistic Regression,0.6984,0.8892,0.8901,0.9335,0.2717,0.763,0.0646,0.45275
Original,Random Forest,0.3148,0.6081,0.1153,0.829,0.0,0.3186,0.0038,0.1555
Original,SVM Linear,0.7101,0.8843,0.8766,0.9274,0.3262,0.8709,0.1609,0.4377
SMOTE Only,Naive Bayes,0.662,0.8286,0.7427,0.894,0.3492,0.8125,0.1505,0.43035000000000007
SMOTE Only,Logistic Regression,0.7384,0.8867,0.8846,0.922,0.4085,0.8957,0.1573,0.4948
SMOTE Only,Random Forest,0.3512,0.6065,0.0841,0.8277,0.1419,0.3782,0.0269,0.2331
SMOTE Only,SVM Linear,0.7063,0.8694,0.8577,0.9111,0.3502,0.9393,0.233,0.41175
SMOTE + CW,Naive Bayes,0.5523,0.8145,0.7454,0.8972,0.0143,0.5844,0.0321,0.26725
SMOTE + CW,Logistic Regression,0.7266,0.8706,0.8813,0.9009,0.3976,0.8181,0.0915,0.5163500000000001
SMOTE + CW,Random Forest,0.7086,0.8488,0.8415,0.8839,0.4005,0.7277,0.0191,0.545
SMOTE + CW,SVM Linear,0.7254,0.8823,0.8794,0.9199,0.3769,0.9037,0.1783,0.462
Config A,Naive Bayes,0.662,0.8286,0.7427,0.894,0.3492,0.8125,0.1505,0.43035000000000007
Config A,Logistic Regression,0.7216,0.8685,0.8812,0.899,0.3847,0.8907,0.1691,0.4686
Config A,Random Forest,0.7059,0.8505,0.8395,0.8878,0.3904,0.8301,0.1243,0.48600000000000004
Config A,SVM Linear,0.7057,0.8667,0.8632,0.9054,0.3484,0.9367,0.231,0.41155
